event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
LSQ12gdj,56266.10,16.39,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56266.10,16.29,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56266.10,17.15,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.05819,16.473,0.007,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56267.06274,17.35,0.013,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56267.06718,16.382,0.008,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56267.07181,16.656,0.008,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56267.10,16.68,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.10,16.48,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.10,17.32,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.10,16.46,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.10,16.48,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.10,16.36,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.10,17.21,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56267.2777,18.645,0.132,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56267.2789,16.864,0.077,F,U,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56267.2795,16.711,0.063,F,B,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56267.2813,19.872,0.216,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56267.2830,16.356,0.071,F,V,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56267.2855,20.060,0.228,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56267.30,16.73,0.08,F,B,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56267.30,16.88,0.09,F,U,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56267.30,20.10,0.25,F,UVM2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56267.30,18.59,0.13,F,UVW1,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56267.30,19.82,0.21,F,UVW2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56267.30,16.42,0.08,F,V,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56268.06023,16.532,0.006,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56268.06405,17.407,0.01,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56268.0686,16.424,0.007,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56268.07291,16.773,0.007,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56268.10,16.79,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56268.10,16.58,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56268.10,17.35,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56268.10,17.37,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56268.10,16.50,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56268.10,16.52,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56268.10,16.43,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56268.10,17.22,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56269.10,16.65,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56269.10,17.33,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56269.10,16.55,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56269.10,17.18,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.07491,16.586,0.012,F,r,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56270.07877,17.358,0.015,F,i,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56270.0831,16.568,0.011,F,V,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56270.08699,16.997,0.011,F,B,QUEST,ESO Schmidt,2015ApJS..219...13W
LSQ12gdj,56270.10,17.03,0.01,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.10,16.75,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
