Xpos,Ypos,Mag,Mag_err,flux,flux_err,type,peakflux,sigx,sigxy,sigy,sky,chisqr,class,FWHM1,FWHM2,FWHM,angle,extendedness,flag,mask,Nmask,RA,Dec,pixchk_Npos,pixchk_Nneg,pixchk_Nmask,pixchk_Ntot,pixchk_Fpos,pixchk_Fneg,time,zpt_av,zpt_00,band,mag0,MJD,MAG,MAGERR,FLT
2251.061,2251.014,-11.912,0.01,58208.27,560.47,0x00000001,3213.01,1.500289,0.018331999999999998,1.650384,57.69,1.26,0.0,3.91,3.52,3.71,-77.3,-0.6,0x0000,0x0000,0,0.0,0.0,85,0,0,97,59092.0,0.0,58911.21199,28.7742,28.7742,V,16.861738270324935,58911.21199,16.861738270324935,0.01,V
2250.947,2251.127,-11.698,0.01,47793.88,442.17,0x00000001,4176.7,1.2063700000000002,-0.040530000000000004,1.295033,68.45,2.28,0.0,3.09,2.81,2.95,69.1,9.2,0x0000,0x0000,0,0.0,0.0,57,0,0,64,48203.0,0.0,58904.33529,28.502909,28.502909,V,16.80447827794631,58904.33529,16.80447827794631,0.01,V
2250.79,2251.375,-8.213,0.11,1928.88,195.15,0x00000001,73.3,1.862809,0.019278,1.9245299999999999,0.94,0.99,0.0,4.64,4.3,4.47,-57.6,-2.9,0x0000,0x0000,0,0.0,0.0,17,3,0,140,1006.0,-101.0,58896.29453,27.2238,27.2238,u,19.010536974901306,58896.29453,19.010536974901306,0.11,u
2250.897,2251.238,-12.818,0.005,133969.31,645.01,0x00000001,8257.99,1.446248,0.033544,1.530349,-19.91,5.55,0.0,3.68,3.35,3.51,-63.6,-21.9,0x0000,0x0000,0,0.0,0.0,80,0,0,90,125791.0,0.0,58876.36138,27.6385,27.6385,r,14.820986698569225,58876.36138,14.820986698569225,0.005,r
2251.005,2251.084,-11.937999999999999,0.005,59613.78,268.05,0x00000001,5413.77,1.233309,0.000146,1.221459,61.37,20.32,0.0,2.9,2.88,2.89,-0.7,36.5,0x0000,0x0000,0,0.0,0.0,61,0,0,61,60986.0,0.0,58869.34554,26.017418,26.017418,r,14.0790513487104,58869.34554,14.0790513487104,0.005,r
2251.062,2251.2870000000003,-12.958,0.004,152524.88,524.45,0x00000001,8983.22,1.530851,-0.0039369999999999995,1.5172299999999999,-35.88,9.25,0.0,3.61,3.57,3.59,22.8,-12.2,0x0000,0x0000,0,0.0,0.0,82,0,0,92,140327.0,0.0,58875.37485,27.6207,27.6207,r,14.662348270049039,58875.37485,14.662348270049039,0.004,r
2251.006,2251.21,-13.514000000000001,0.003,254499.54,646.13,0x00000001,17081.29,1.451167,0.041253,1.399626,-14.03,9.68,0.0,3.52,3.21,3.37,-33.3,-9.0,0x0000,0x0000,0,0.0,0.0,77,0,0,78,235311.0,0.0,58871.35001,27.6356,27.6356,r,14.12138249575069,58871.35001,14.12138249575069,0.003,r
2250.991,2251.106,-12.139000000000001,0.009000000000000001,71695.72,594.61,0x00000001,4058.24,1.6325,0.006047,1.480348,8.19,1.48,0.0,3.85,3.48,3.67,-4.2,-2.1,0x0000,0x0000,0,0.0,0.0,76,1,0,97,67280.0,-126.0,58895.28749,28.9831,28.9831,g,16.844366923796436,58895.28749,16.844366923796436,0.009000000000000001,g
2250.9210000000003,2251.785,-12.097000000000001,0.011000000000000001,68987.12,701.2,0x00000001,4182.62,1.4653639999999999,-0.036847000000000005,1.5343639999999998,71.57,2.05,0.0,3.71,3.37,3.54,59.5,-9.4,0x0000,0x0000,0,0.0,0.0,78,0,0,91,69292.0,0.0,58908.32532,29.6784,29.6784,B,17.581479962833374,58908.32532,17.581479962833374,0.011000000000000001,B
2251.06,2251.021,-11.876,0.006,56263.34,309.26,0x00000001,3060.74,1.668221,-0.029306,1.503364,-30.43,1.8,0.0,3.98,3.5,3.74,17.6,2.1,0x0000,0x0000,0,0.0,0.0,81,0,0,98,50776.0,0.0,58870.31588,26.0894,26.0894,i,14.213836225196246,58870.31588,14.213836225196246,0.006,i
2250.9120000000003,2251.129,-12.115,0.006,70148.2,403.49,0x00000001,6370.37,1.233309,0.000146,1.221459,-0.85,24.02,0.0,2.9,2.88,2.89,-0.7,35.2,0x0000,0x0000,0,0.0,0.0,52,2,0,61,68354.0,-156.0,58893.28775,28.421007,28.421007,r,16.30596567117911,58893.28775,16.30596567117911,0.006,r
2250.911,2251.297,-9.206,0.068,4811.98,302.76,0x00000001,255.1,1.558437,-0.035162,1.648309,-2.57,1.67,0.0,3.99,3.59,3.79,60.9,-4.4,0x0000,0x0000,0,0.0,0.0,43,4,0,101,4119.0,-221.0,58905.29418,28.494293,28.494293,u,19.288483465959164,58905.29418,19.288483465959164,0.068,u
2250.974,2251.795,-11.314,0.016,33531.58,487.55,0x00000001,1808.19,1.5439049999999999,0.013096,1.642351,63.72,1.69,0.0,3.88,3.62,3.75,-75.9,1.7,0x0000,0x0000,0,0.0,0.0,83,0,0,99,36748.0,0.0,58911.21479,28.9682,28.9682,B,17.654564955593273,58911.21479,17.654564955593273,0.016,B
2250.819,2251.792,-12.204,0.005,76156.18,336.63,0x00000001,5253.0,1.3665049999999999,-0.062967,1.440205,32.19,6.12,0.0,3.55,3.1,3.32,56.5,24.4,0x0000,0x0000,0,0.0,0.0,73,0,0,78,73616.0,0.0,58876.37175,28.673833,28.673833,B,16.469570120806857,58876.37175,16.469570120806857,0.005,B
2250.9339999999997,2251.219,-12.064,0.01,66956.39,605.51,0x00000001,4806.66,1.339114,-0.053346000000000005,1.41596,33.42,2.78,0.0,3.44,3.07,3.26,59.5,-2.6,0x0000,0x0000,0,0.0,0.0,60,1,0,74,62603.0,-88.0,58909.35927,29.202919,29.202919,g,17.13843892417616,58909.35927,17.13843892417616,0.01,g
2251.225,2251.301,-7.992999999999999,0.255,1574.55,368.86,0x00000003,142.76,1.233309,0.000146,1.221459,-5.65,1.45,0.0,2.9,2.88,2.89,-0.7,1.4,0x0000,0x0000,0,0.0,0.0,27,5,0,60,2105.0,-114.0,58895.23958,24.877239,24.877239,r,16.884347859354374,58895.23958,16.884347859354374,0.255,r
2250.752,2224.0860000000002,-10.341,0.0,13695.52,0.0,0x00000002,726.44,0.933006,-0.35226799999999997,2.0940380000000003,5.85,21.11,0.0,7.14,2.09,4.62,71.3,-46.1,0x0000,0x0000,0,0.0,0.0,71,1,0,102,12964.0,-12.0,58872.35487,27.089914,27.089914,u,16.748467683836616,58872.35487,16.748467683836616,0.0,u
2250.9410000000003,2251.3979999999997,-9.232999999999999,0.095,4932.99,433.72,0x00000001,156.23,2.017398,0.013153,2.139351,12.17,1.15,0.0,5.1,4.7,4.9,-68.0,3.0,0x0000,0x0000,0,0.0,0.0,61,1,0,168,5293.0,-65.0,58903.27644,28.4164,28.4164,u,19.18362441231222,58903.27644,19.18362441231222,0.095,u
2250.949,2250.969,-12.174000000000001,0.019,74074.51,1290.73,0x00000001,6343.2,1.267292,0.011821,1.260993,131.41,3.74,0.0,3.01,2.95,2.98,-37.6,-0.6,0x0000,0x0000,0,0.0,0.0,57,2,0,64,77043.0,-329.0,58912.26859,28.9388,28.9388,i,16.764628031698752,58912.26859,16.764628031698752,0.019,i
2250.822,2251.792,-12.202,0.011000000000000001,76026.49,743.13,0x00000001,5243.74,1.3665049999999999,-0.062967,1.440205,60.92,2.93,0.0,3.55,3.1,3.32,56.5,15.7,0x0000,0x0000,0,0.0,0.0,74,0,0,78,76299.0,0.0,58893.30286,29.636217,29.636217,B,17.4338046490238,58893.30286,17.4338046490238,0.011000000000000001,B
2250.815,2251.821,-12.155999999999999,0.008,72829.37,542.93,0x00000001,5023.2,1.3665049999999999,-0.062967,1.440205,75.32,3.86,0.0,3.55,3.1,3.32,56.5,-12.8,0x0000,0x0000,0,0.0,0.0,74,0,0,79,73384.0,0.0,58906.29516,29.755037,29.755037,B,17.59927061707873,58906.29516,17.59927061707873,0.008,B
2251.001,2251.175,-9.441,0.023,5974.99,126.12,0x00000001,355.37,1.4965700000000002,0.0076170000000000005,1.53636,-6.89,0.87,0.0,3.63,3.52,3.57,-73.1,-3.9,0x0000,0x0000,0,0.0,0.0,37,0,0,93,4803.0,0.0,58903.26841,26.0136,26.0136,r,16.572757043082806,58903.26841,16.572757043082806,0.023,r
2250.9429999999998,2251.1220000000003,-12.465,0.006,96802.26,503.97,0x00000001,8459.35,1.2063700000000002,-0.040530000000000004,1.295033,131.36,4.27,0.0,3.09,2.81,2.95,69.1,16.5,0x0000,0x0000,0,0.0,0.0,57,0,0,64,97529.0,0.0,58906.29037,29.297041,29.297041,V,16.8323272582251,58906.29037,16.8323272582251,0.006,V
2251.246,2252.141,-11.039000000000001,0.12300000000000001,26040.79,2939.54,0x00000003,1796.52,1.3665049999999999,-0.062967,1.440205,-43.56,2.24,0.0,3.55,3.1,3.32,56.5,1.6,0x0000,0x0000,0,0.0,0.0,49,7,0,78,30111.0,-909.0,58923.28922,29.361073,29.361073,B,18.32193761175765,58923.28922,18.32193761175765,0.12300000000000001,B
2250.812,2251.82,-9.073,0.017,4257.26,66.04,0x00000001,293.64,1.3665049999999999,-0.062967,1.440205,7.73,1.64,0.0,3.55,3.1,3.32,56.5,8.4,0x0000,0x0000,0,0.0,0.0,68,0,0,79,4607.0,0.0,58906.29432,26.685486,26.685486,B,17.61266056429336,58906.29432,17.61266056429336,0.017,B
2250.5879999999997,2250.946,-9.208,0.07400000000000001,4819.95,327.64,0x00000001,254.1,1.5940450000000002,-0.035118,1.622257,-0.07,1.12,0.0,3.98,3.62,3.8,50.5,1.0,0x0000,0x0000,0,0.0,0.0,41,2,0,104,4452.0,-139.0,58907.36594,28.2251,28.2251,u,19.017493667284995,58907.36594,19.017493667284995,0.07400000000000001,u
